id,name,description,category,image_url,location
starsfadingoutquietly-band,starsfadingoutquietly,"Emoviolence band from Indianapolis Indiana that formed in 2025/2024","Emoviolence",assets/starsfadingoutquietly.jpg,Indianapolis Indiana
fairway-drive-band,Fairway Drive,"Indie/alternative rock band from Canada.","Indie / Alternative Rock",assets/fairway-drive.jpeg,Canada
maelstrom-band,Maelstrom,"Shoegazed influenced alt rock band formed in 2025 from Washington state.","Shoegaze / Alt Rock",assets/Maelstrom.jpeg,Washington state
eddie-ate-dynamite-good-bye-eddie1-band,eddie ate dynamite good bye eddie!,"Mathcore band of teens from LA","Mathcore",assets/eddie-ate-dynamite-good-bye-eddie!.jpeg,LA
closer-band,Closer,"A screamo band formed in 2016 that is formed based in Pennslyvania and New York.","Screamo",assets/closer.jpeg,"Pennsylvania and New York"
Todos-tus-tanques-soviéticos-band,Todos tus tanques soviéticos,"Post-shoegaze band from Argentina, formed around 2017.","Post-Shoegaze",assets/Todos-tus-tanques-soviéticos.jpeg,Argentina
ecchymosis-band,Ecchymosis,"Brutal Death Metal band from Thailand","Brutal Death Metal",assets/Ecchymosis.jpeg,Thailand
electron-sheep-band,Electron Sheep,"Unique South Korean psychedelic folk/indie rock band formed in 2001.","Psychedelic Folk / Indie Rock",assets/electron-sheep.jpeg,South Korea
the-faces-of-sarah-band,The Faces of Sarah,"London-based gothic rock band fromed in 1999.","Gothic Rock",assets/the-faces-of-sarah.jpeg,London
bells-on-trike,Bells on Trike,"mid-90s emo and post-hardcore band from Virginia","Emo / Post-hardcore",assets/bells-on-trike.jpeg,Virginia
