











































id,name,description,category,image_url,location
neon-echo,Neon Echo,"Indie synth-rock trio mixing dreamy vocals with driving guitar and local venue energy.","Indie Rock",https://picsum.photos/seed/neon-echo/800/600,Midtown Stage
river-jam,River Jam,"Soulful funk band that plays outdoor festivals and community events with bright brass and rhythm.",Funk,https://picsum.photos/seed/river-jam/800/600,Riverfront Park
shadowbeat,Shadowbeat,"Alternative electronic duo blending dark beats with live visuals for a late-night concert feel.",Electronic,https://picsum.photos/seed/shadowbeat/800/600,Downtown Club
willow-waltz,Willow Waltz,"Acoustic folk group sharing stories about local life over soft guitar and vocal harmonies.",Folk,https://picsum.photos/seed/willow-waltz/800/600,Willow Hall
city-siren,City Siren,"Pop-rock band with energetic stage shows, catchy hooks, and a strong local youth following.",Pop Rock,https://picsum.photos/seed/city-siren/800/600,Eastside Venue
midnight-rift,Midnight Rift,"Heavy rock band with loud riffs and a dramatic stage presence for fans of powerful live music.",Rock,https://picsum.photos/seed/midnight-rift/800/600,Black Box Venue
pulse-train,Pulse Train,"Upbeat electronic dance act that keeps the floor moving with synth anthems and light shows.",Dance,https://picsum.photos/seed/pulse-train/800/600,Neon Loft
harbor-haze,Harbor Haze,"Dreamy jazz quintet creating relaxed nights with mellow trumpet, piano, and city views.",Jazz,https://picsum.photos/seed/harbor-haze/800/600,Harbor Lounge
street-poets,Street Poets,"Hip hop crew telling local stories through sharp lyrics, beats, and community energy.",Hip Hop,https://picsum.photos/seed/street-poets/800/600,Garage Stage
electric-ivy,Electric Ivy,"Alt-pop sound with bright melodies and a modern edge, perfect for first-time concertgoers.",Alternative,https://picsum.photos/seed/electric-ivy/800/600,Glow Room
